"user_id","total_spent","number_of_scans"
"5e17be3adaccde120584a7c5",33.98,6
"62c480f1baa38d1a1f6d96ee",33.82,6
"6178a06f56478124cd810ca0",33.76,6
"65529fd2a225ea102b81c99d",33.74,6
"64134fb5f0930bb238cba847",33.67,6
"667df232465f309038ad5308",33.32,6
"5ec1872ed474d413da27003d",33.16,6
"5d6cd3bd216673416dd3be1d",33.07,6
"6569def19cb6a4f05dc9fa90",32.95,6
"5f53c62bd683c715b9991b20",32.93,6
"5e138a14128c2c120e65407a",32.93,6
"5f661a217e0ff616130aef09",32.92,6
"61c3783fd69970231a698d0e",32.82,6
"6010acf151e5ec12ece67d20",32.72,6
"66660a1e7c0469953bfd0601",32.44,6
"61c095e47b6f1375b1bc42db",32.41,6
"601894cf4174b512d04c08b7",31.95,6
"5e23279beeba731344dc6137",31.86,6
"5e1a36c7f3aee111fb51ee4e",31.78,6
"665cef487c0469953bfba46c",31.72,6
"62f52dec30b23c82198f26ca",31.42,6
"600109b2e1a2f913073c0b37",31.35,6
"63a63ca2747a17c3519cdc51",31.31,6
"65133fa855f575777d0f91d1",31.22,6
"610c3848e43fab30fb107e0c",31.18,6
"5baf733455206419c416c3be",31.07,6
"601c2e0ed5297712f4517069",31.00,6
"63712d01d55f5b4e9fb2831d",30.97,6
"616c88f399f7f759ce2129a7",30.92,6
"639bc19b4b2ebdb1fed916a0",30.87,6
"5c66cb908554b35a501497b6",30.81,6
"65f878315a33935f1ed8362f",30.80,6
"62508f2091a17828b048d751",30.78,6
"62115db1d7a34639cbabd62a",30.74,6
"6521424d7933bcf6ee796a9a",30.73,6
"5e76152aa5d7e414071b3d7c",30.68,6
"61ac11e6e9b3d75037b5808a",30.60,6
"65e4d3fd16cc391732143b50",30.56,6
"5f220a60b1b44f148630c81a",30.34,6
"65b07b397050d0a6206ae1e1",30.18,6
"62f70de930b23c82198ff23b",30.18,6
"63d84183b425eb11a46fcd81",30.10,6
"658c9877a19104bccf2d871d",30.06,6
"619081d93bad6d1e8cbd3aae",29.88,6
"61df6a2d72e72d64afbe149a",29.84,6
"64a5a7bf127ddb5d7f03002d",29.80,6
"6626c422451fea1e8ceabd26",29.73,6
"5b20a81ce4b0a496b941600c",29.62,6
"5bb583a021a89d352b0535aa",29.45,6
"614f69c9a77e5b35a4d65b80",29.20,6
"5e48ddd01a900e141874e241",29.14,6
"5e9c4fac126e4d138c9b0a5f",29.14,6
"63151edeb2906b770ea9c10d",29.06,6
"6435c62f06b88066bb765bdc",28.94,6
"665f91d87c0469953bfc1862",28.90,6
"625b2f4f6c17fa71fe4089fd",28.84,6
"631210d509b563dae7063a4a",28.71,6
"642a31ec3d4434e63c19ac97",28.57,6
"63a74a2d9f3fc9c75467c4cc",28.56,6
"61fab5a24b01ce472560a78b",28.48,6
"5dbd9336892f282aa9673efa",28.45,6
"62cf8ffd2cfb4591e3ba4eb1",28.40,6
"652efa2ddda97e6b13423ead",28.34,6
"6521d4937933bcf6ee798c4f",28.28,6
"60d9fca9d3da863148d0b869",28.12,6
"62ace7f9cc43018bbbf833d6",28.04,6
"6365028c2cdc028374b888c9",28.00,6
"61c4774a33c9bf3ef9efce8f",27.96,6
"65f1df9796ce12ad9079b18a",27.96,6
"64827b82ad5b7af76e95ecc0",27.85,6
"626f1372948c8e671ea02e88",27.84,6
"613411bc9340b47433049170",27.78,6
"63430a4034de29ce9a62cf13",27.74,6
"6138b0cc084ac961d9ac7a09",27.74,6
"5cf70a77f9e8731441517ec4",27.68,6
"636a94f29bfaa8a5f905bb9b",27.62,6
"63d930a8b425eb11a470578a",27.59,6
"61feff2717dd0446dcdc5b97",27.58,6
"62bded3ccc43018bbbfd5dc4",27.54,6
"5bf9d3c3f9127612bc96b5f7",27.50,6
"6211968b9e68063cadeb6872",27.48,6
"66290233451fea1e8ceb0090",27.42,6
"60109101ed0f70129551bbeb",27.35,6
"60609308efdfa066f0dc99a0",27.22,6
"5fd60bf3a0d934474e96fb7d",27.09,6
"62434ce3ba45a13bb6525218",26.96,6
"65b52d21e43f8851491b8d8e",26.94,6
"5ab547fbe4b0cb682c39698a",26.77,6
"65db8f85fe555d15f28a4946",26.75,6
"6352e5e7fe4706b07a6ac90d",26.67,6
"63acc02f01cb7c888c6f388b",26.63,6
"6244a7928b0ea2379d70ea92",26.49,6
"617eaeb3e5e5187841b73fab",26.32,6
"62676081ed0f8765fb700454",26.14,6
"5e52baa3bffb2e1421c8c4df",26.14,6
"647cb8b3a55bb77a0e28c238",26.12,6
"62b883b3cc43018bbbfbd69e",26.12,6
"64066849805523278971aac1",26.04,6
"6437655d5f35dff764744a34",25.90,6
"62ef518a678af3b6c9703392",25.85,6
"63e7926418d26a8e6a59ca9a",25.82,6
"6032317af46de312b810a64d",25.81,6
"5f1a435a2ea1801456aade5b",25.81,6
"649c5981e59a088dc6e086f2",25.69,6
"65a7e790021d2ea1d13f1b61",25.43,6
"656e1ac39cb6a4f05dca94bc",25.42,6
"5e9cdf8ee72dc013bc5840d3",25.35,6
"63e3b236d7ff0e6a5087cefc",25.04,6
"61286ce7e17e430d98ea1aaf",25.04,6
"646007896e301062531a6ad4",25.02,6
"6527124cd1b2d38e7e8fe470",24.88,6
"5b664236b912a0207cdaba3c",24.86,6
"5ef661c703e926141cdde3c4",24.77,6
"6234d7fadecc6503b64d80a7",24.72,6
"65bda5d67050d0a6206c42bd",24.58,6
"63165e51b2906b770eab1db1",24.56,6
"5e17f8689a28bd129da8ab05",24.55,6
"6259a46a5c6f2115589921f1",24.55,6
"65ff94cc7756e548cb86499c",24.55,6
"66816cb886cc41b000ce2336",24.48,6
"5d9269f27f3663071a886304",24.44,6
"5c707c3a99c6094968ea7e74",24.40,6
"5c8ba0f6c5dcdc6092f25462",24.32,6
"5b463fbbbf918d77ed4459f5",24.28,6
"622baeac21cc137711a27d59",24.26,6
"61907f9ff6305b3daddc9ca3",24.25,6
"631ca789b2906b770eb00233",24.06,6
"610be74298eae12a48846bfe",23.99,6
"619beb1ddb54774a0e014d61",23.96,6
"62abd344165645ea96fe6442",23.94,6
"623d0e317acb724120dd9289",23.90,6
"5c466b0a0bf1da134362f34f",23.87,6
"62cf3a682cfb4591e3ba2a81",23.81,6
"66816200465f309038add7bc",23.80,6
